Date,Open,High,Low,Close,Volume
2018-10-01,70.0,74.19999694824219,66.16999816894531,70.0,7172900
2018-10-08,73.0,73.4000015258789,58.54999923706055,62.68000030517578,2762800
2018-10-15,63.0,70.66000366210938,59.38999938964844,64.45999908447266,1101800
2018-10-22,64.47000122070312,65.4800033569336,58.880001068115234,60.52000045776367,842900
2018-10-29,61.40999984741211,70.30000305175781,60.0099983215332,64.5199966430664,1297100
2018-11-05,65.0,76.80000305175781,61.630001068115234,71.4000015258789,1404400
2018-11-12,71.61000061035156,72.52999877929688,62.5,70.75,790000
2018-11-19,70.0,71.86000061035156,62.5,66.06999969482422,1009300
2018-11-26,67.25,71.79000091552734,65.41000366210938,71.44999694824219,614800
2018-12-03,74.08999633789062,83.83999633789062,67.51000213623047,69.12000274658203,3555000
2018-12-10,69.01000213623047,78.5,69.01000213623047,76.69000244140625,1137700
2018-12-17,77.62999725341797,77.62999725341797,62.0,62.529998779296875,3801500
2018-12-24,62.099998474121094,72.48999786376953,60.779998779296875,69.98999786376953,1053400
2018-12-31,70.98999786376953,71.95999908447266,63.040000915527344,67.80999755859375,1423400
2019-01-07,67.5999984741211,77.72000122070312,67.5999984741211,74.7699966430664,2136700
2019-01-14,73.7699966430664,75.95999908447266,71.20999908447266,75.08000183105469,1180500
2019-01-21,74.66999816894531,79.5999984741211,73.0199966430664,78.72000122070312,603600
2019-01-28,77.87000274658203,88.0,77.18000030517578,87.5999984741211,1335600
2019-02-04,88.27999877929688,92.0999984741211,81.5999984741211,87.0199966430664,1575600
2019-02-11,87.5199966430664,91.9000015258789,85.43000030517578,90.80000305175781,994800
2019-02-18,91.0,94.37000274658203,89.0999984741211,94.1500015258789,804400
2019-02-25,95.8499984741211,100.43000030517578,88.01000213623047,93.16000366210938,3240100
2019-03-04,94.12999725341797,94.12999725341797,82.1500015258789,84.37999725341797,6112600
2019-03-11,84.48999786376953,87.19000244140625,80.19999694824219,85.11000061035156,8712600
2019-03-18,85.0,91.0,84.19999694824219,88.31999969482422,5071000
2019-03-25,87.75,88.05999755859375,78.68000030517578,79.87000274658203,3757700
2019-04-01,81.0199966430664,86.5,80.13999938964844,81.0,4755500
2019-04-08,80.76000213623047,83.26000213623047,78.41000366210938,82.33999633789062,2776900
2019-04-15,82.66000366210938,83.30000305175781,80.91000366210938,82.5199966430664,2371000
2019-04-22,82.12000274658203,87.25,82.12000274658203,86.55000305175781,2469100
2019-04-29,86.58000183105469,86.80999755859375,82.58000183105469,86.0,2272100
2019-05-06,84.0,88.48999786376953,81.63999938964844,88.33999633789062,2254700
2019-05-13,85.0,87.08999633789062,81.38999938964844,83.1500015258789,3984700
2019-05-20,82.2699966430664,84.5,81.63999938964844,83.01000213623047,2935500
2019-05-27,83.19000244140625,84.5,81.13999938964844,82.05000305175781,3893600
2019-06-03,82.0199966430664,84.45999908447266,78.51000213623047,81.38999938964844,7192400
2019-06-10,81.3499984741211,83.30000305175781,73.94999694824219,74.47000122070312,9644600
2019-06-17,74.70999908447266,79.0999984741211,73.80999755859375,76.19999694824219,8966700
2019-06-24,76.12000274658203,76.48999786376953,72.44999694824219,74.66000366210938,10529100
2019-07-01,75.69999694824219,78.87999725341797,74.31999969482422,78.48999786376953,3555500
2019-07-08,78.0,93.4000015258789,77.4000015258789,93.26000213623047,8516900
2019-07-15,93.18000030517578,100.22000122070312,92.8499984741211,98.80999755859375,6876600
2019-07-22,99.4800033569336,104.0999984741211,95.51000213623047,102.58999633789062,4649500
2019-07-29,102.55000305175781,102.98999786376953,92.87999725341797,94.33000183105469,4701100
2019-08-05,90.87999725341797,91.45999908447266,86.29000091552734,86.5199966430664,4462600
2019-08-12,86.0,88.25,82.73999786376953,85.23999786376953,3317300
2019-08-19,86.5999984741211,87.5,79.33999633789062,80.44999694824219,4275000
2019-08-26,81.73999786376953,92.93000030517578,78.41000366210938,87.88999938964844,10972100
2019-09-02,83.66000366210938,89.94999694824219,80.48999786376953,88.79000091552734,10959200
2019-09-09,88.9000015258789,96.72000122070312,82.94999694824219,93.75,13676100
2019-09-16,92.52999877929688,96.69999694824219,89.37000274658203,94.2699966430664,7168800
2019-09-23,93.44999694824219,94.08999633789062,82.30000305175781,82.9000015258789,6944800
2019-09-30,82.44999694824219,85.79000091552734,77.51000213623047,85.70999908447266,5806800
2019-10-07,85.70999908447266,87.31999969482422,83.23999786376953,85.23999786376953,3007300
2019-10-14,84.7699966430664,86.47000122070312,69.9000015258789,71.22000122070312,7590800
2019-10-21,72.01000213623047,75.26000213623047,69.26000213623047,74.5999984741211,4790200
2019-10-28,75.04000091552734,76.08999633789062,71.55000305175781,74.37999725341797,4333900
2019-11-04,75.0,75.88999938964844,71.83000183105469,72.37999725341797,4397200
2019-11-11,71.69999694824219,74.54000091552734,70.05999755859375,74.25,10280600
2019-11-18,77.18000030517578,79.4800033569336,74.8499984741211,78.91000366210938,4405300
2019-11-25,79.27999877929688,80.38999938964844,78.41000366210938,79.41000366210938,2403400
2019-12-02,79.31999969482422,79.69999694824219,62.93000030517578,63.84000015258789,18769600
2019-12-09,63.06999969482422,63.54999923706055,60.099998474121094,62.15999984741211,10237800
