TICKER,date,PRC
CLDR,2020-11-02,9.8100
CLDR,2020-11-03,10.0700
CLDR,2020-11-04,10.2200
CLDR,2020-11-05,10.4800
CLDR,2020-11-06,10.4100
CLDR,2020-11-09,10.0900
CLDR,2020-11-10,10.0500
CLDR,2020-11-11,10.3400
CLDR,2020-11-12,10.5000
CLDR,2020-11-13,10.6700
CLDR,2020-11-16,10.9400
CLDR,2020-11-17,11.1200
CLDR,2020-11-18,10.7200
CLDR,2020-11-19,11.1800
CLDR,2020-11-20,11.3000
CLDR,2020-11-23,11.2600
CLDR,2020-11-24,11.4600
CLDR,2020-11-25,11.5700
CLDR,2020-11-27,11.7500
CLDR,2020-11-30,11.6800
CLDR,2020-12-01,11.3300
CLDR,2020-12-02,11.2000
CLDR,2020-12-03,11.5800
CLDR,2020-12-04,12.4100
CLDR,2020-12-07,11.7900
CLDR,2020-12-08,12.3100
CLDR,2020-12-09,12.2100
CLDR,2020-12-10,12.3200
CLDR,2020-12-11,12.2300
CLDR,2020-12-14,12.5400
CLDR,2020-12-15,12.5000
CLDR,2020-12-16,12.7000
CLDR,2020-12-17,12.9200
CLDR,2020-12-18,12.6800
CLDR,2020-12-21,12.9200
CLDR,2020-12-22,14.6400
CLDR,2020-12-23,15.0000
CLDR,2020-12-24,14.8800
CLDR,2020-12-28,14.3900
CLDR,2020-12-29,14.0100
CLDR,2020-12-30,14.0700
CLDR,2020-12-31,13.9100
CLDR,2021-01-04,13.8400
CLDR,2021-01-05,13.8200
CLDR,2021-01-06,13.7700
CLDR,2021-01-07,14.2800
CLDR,2021-01-08,14.4800
CLDR,2021-01-11,14.2500
CLDR,2021-01-12,14.1900
CLDR,2021-01-13,14.0000
CLDR,2021-01-14,14.4500
CLDR,2021-01-15,14.2100
CLDR,2021-01-19,14.0200
CLDR,2021-01-20,14.4100
CLDR,2021-01-21,14.0900
CLDR,2021-01-22,14.0200
CLDR,2021-01-25,13.8800
CLDR,2021-01-26,14.4200
CLDR,2021-01-27,15.2900
