firm,ticker,quarter_end,revenue_ltm,growth_yoy,op_margin_ltm,market_cap,net_debt,ev,ev_rev,log_ev_rev,priced_at,priced_at_filing,log_ev_rev_qend,log_rev,active_contributors,top_author_share,contributor_gini,bus_factor_50,churn_gini,release_cadence,merge_share,commit_volume,secret_incidence,repo_health_index_z,repo_health_index_pca
cloudera,CLDR,2021-04-30,883081000.0,0.08064044406210114,-0.1519792635103688,4633754400.0,317075000.0,4950829400.0,5.60631403008331,1.723893467956325,2021-06-04,1,1.5179419706352368,20.598927487090375,58,0.1294,0.6226,7,0.8459,2,0.0,657,0.0,-0.5688427579842389,-1.1280601758016058
cloudera,CLDR,2021-07-31,904802000.0,0.08384442889862109,-0.14426250163019091,4674610710.0,351198000.0,5025808710.0,5.554595049524647,1.7146255220589766,2021-09-02,1,1.711116090233057,20.623226693196987,54,0.1004,0.579,8,0.8517,8,0.0,568,0.0,-0.5072199593537723,-0.8823134963340254
confluent,CFLT,2022-03-31,436975000.0,,-0.9290188225871046,7709165919.25,34048000.0,7743213919.25,17.72003871903427,2.8746961302216283,2022-05-05,1,3.2458064001169693,19.895386543185424,216,0.0623,0.667,17,0.7206,24,0.0,1075,0.0,0.414654550125176,-0.0817932720828258
confluent,CFLT,2022-06-30,488044000.0,,-0.8958618485218546,7997719365.24,552916000.0,8550635365.24,17.520214089795182,2.863355305170753,2022-08-03,1,2.65719949718304,20.005916123687324,210,0.0601,0.6515,16,0.7199,23,0.0,981,0.0,0.4043113569669911,-0.12068324356227103
confluent,CFLT,2022-09-30,537206000.0,,-0.8588306906475356,6223621779.2,580135000.0,6803756779.2,12.665079651381406,2.5388485725283276,2022-11-02,1,2.5932853663539612,20.101892191575555,222,0.0624,0.6553,15,0.7394,33,0.0,946,0.0,0.333471720272426,-0.059501561468217
confluent,CFLT,2022-12-31,585944000.0,,-0.7896215337984517,6831159907.2300005,648719000.0,7479878907.2300005,12.765518389521866,2.546747660093854,2023-02-28,1,2.4628162435330756,20.188734779834906,225,0.0589,0.6697,15,0.7433,31,0.0,1069,0.0,0.33165666680376227,-0.013536800804966123
confluent,CFLT,2023-03-31,634107000.0,0.4511287831111619,-0.8157692629161956,5825624901.0,741979000.0,6567603901.0,10.357248699352002,2.3376866320008793,2023-05-03,1,2.505443310329764,20.267728267877583,209,0.0507,0.6778,16,0.7414,31,0.0,1105,0.0,0.3562668838138475,0.03005622741280422
confluent,CFLT,2023-06-30,683985000.0,0.4014822434042833,-0.7592944289713955,9146625350.94,773746000.0,9920371350.94,14.503784952798673,2.6744096465913,2023-08-02,1,2.79442240547236,20.3434465455218,206,0.0548,0.6856,16,0.7242,33,0.0,1187,0.0,0.3992703251804272,-0.07820860258195823
confluent,CFLT,2023-09-30,732434000.0,0.36341366254286056,-0.695049656351289,8380098930.559999,770307000.0,9150405930.56,12.493147410633586,2.5251802868384625,2023-11-01,1,2.572239209479355,20.411883792406954,216,0.0576,0.6889,17,0.7302,22,0.0,1302,0.0,0.3947819959816622,-0.010222730917712284
confluent,CFLT,2023-12-31,776952000.0,0.32598337042447745,-0.6162195347975165,9797701526.46,738552000.0,10536253526.46,13.561009594492322,2.607198733611813,2024-02-21,1,2.303364142080588,20.470889130361925,227,0.055,0.6716,21,0.7419,23,0.0,1474,0.0,0.4162692214254872,0.20683816387251672
confluent,CFLT,2024-03-31,819887000.0,0.2929789451937923,-0.5171822458460739,8744274527.23,752893000.0,9497167527.23,11.583507882464291,2.4495823522188784,2024-05-07,1,2.534838197769483,20.52467708384856,241,0.0581,0.6698,21,0.7532,28,0.0,1565,0.0,0.3839395149056125,0.2669632500184599
confluent,CFLT,2024-06-30,865588000.0,0.2655072845164732,-0.4771461711576408,7926570787.68,778891000.0,8705461787.68,10.057281047888834,2.3082968545714113,2024-07-31,1,2.460269192042149,20.57891960274413,264,0.047,0.6682,25,0.7802,23,0.0,1874,0.0,0.3766355618353338,0.6047787104103669
confluent,CFLT,2024-09-30,915606000.0,0.25008669723142285,-0.4347317514302003,7366952281.86,768577000.0,8135529281.86,8.885404073214898,2.1844099387058753,2024-10-30,1,2.0728233083280205,20.63509669910116,277,0.0419,0.6852,24,0.7829,22,0.0,2124,0.0,0.3804350970874014,0.6489790717860631
confluent,CFLT,2024-12-31,963642000.0,0.2402851141383251,-0.4349613238111249,11245907755.039999,706169000.0,11952076755.039999,12.403025973380155,2.5179404729517896,2025-02-18,1,2.309725078208166,20.68623041430556,284,0.0507,0.7111,20,0.7787,30,0.0,2448,0.0,0.34009618043683104,0.4797085379909666
