model,param,coefficient,t_observed,p_value,n_clusters,replications,weights,min_attainable_p
h1,repo_health_index_z,0.02204538735297451,0.24001166876038554,0.7936,6,9999,webb,0.0001
h2_k1,repo_health_index_z,-0.00757518294527534,-0.2511037290229372,0.7963,6,9999,webb,0.0001
h2_k2,repo_health_index_z,-0.034355301201547644,-1.1706431733381015,0.484,6,9999,webb,0.0001
h2_k3,repo_health_index_z,-0.0539691110552496,-3.1761286634374426,0.152,6,9999,webb,0.0001
h2_k4,repo_health_index_z,-0.05487566412615735,-3.2020632255958343,0.1399,5,9999,webb,0.0001
