variable,rank_sum,exact_p,min_attainable_p,separates_perfectly,mean_acquired,mean_independent
active_contributors,10.0,0.05714285714285714,0.05714285714285714,1,82.25,686.0
bus_factor_50,10.0,0.05714285714285714,0.05714285714285714,1,5.5,60.333333333333336
log_rev,10.0,0.05714285714285714,0.05714285714285714,1,19.893672629989517,21.228197648219183
op_margin_ltm,10.0,0.05714285714285714,0.05714285714285714,1,-0.35669929570658737,-0.03740003149423657
repo_health_index_z,10.0,0.05714285714285714,0.05714285714285714,1,-0.5775686366082874,0.600337867520702
top_author_share,22.0,0.05714285714285714,0.05714285714285714,1,0.207425,0.020766666666666666
growth_yoy,14.0,0.6285714285714286,0.05714285714285714,0,0.20140619567174475,0.21930746269408105
ev_rev,16.0,1.0,0.05714285714285714,0,5.559574861411712,6.183941936894333
