variable,rank_sum,exact_p,min_attainable_p,separates_perfectly,mean_acquired,mean_independent
active_contributors,15.0,0.03571428571428571,0.03571428571428571,1,115.8,686.0
bus_factor_50,15.0,0.03571428571428571,0.03571428571428571,1,7.8,60.333333333333336
op_margin_ltm,15.0,0.03571428571428571,0.03571428571428571,1,-0.3548401619668109,-0.03740003149423657
repo_health_index_z,15.0,0.03571428571428571,0.03571428571428571,1,-0.47552722785401985,0.5919838967910788
top_author_share,30.0,0.03571428571428571,0.03571428571428571,1,0.1786,0.020766666666666666
log_rev,16.0,0.07142857142857142,0.03571428571428571,0,20.081029858530933,21.228197648219183
growth_yoy,20.0,0.5714285714285714,0.03571428571428571,0,0.20427517617335272,0.21930746269408105
ev_rev,23.0,1.0,0.03571428571428571,0,5.943892802365603,6.183941936894333
